iter	Passed	Remaining
0	9	9392
1	17	8788
2	26	8643
3	35	8731
4	43	8622
5	51	8532
6	60	8515
7	68	8469
8	76	8431
9	84	8396
10	92	8343
11	100	8306
12	108	8260
13	116	8217
14	124	8198
15	132	8175
16	140	8146
17	149	8137
18	157	8107
19	165	8090
20	173	8074
21	181	8071
22	189	8054
23	198	8055
24	206	8038
25	214	8019
26	222	8003
27	230	7996
28	238	7982
29	246	7966
30	254	7948
31	262	7939
32	270	7930
33	278	7912
34	286	7901
35	294	7890
36	302	7882
37	310	7870
38	319	7861
39	326	7847
40	334	7834
41	342	7823
42	350	7809
43	358	7799
44	366	7787
45	374	7776
46	382	7763
47	390	7753
48	399	7747
49	407	7739
50	415	7729
51	423	7720
52	431	7709
53	439	7697
54	447	7695
55	455	7682
56	463	7671
57	471	7663
58	479	7654
59	487	7643
60	495	7632
61	503	7623
62	511	7612
63	519	7600
64	528	7603
65	536	7593
66	544	7585
67	552	7577
68	560	7565
69	571	7594
70	579	7584
71	587	7575
72	595	7564
73	604	7560
74	612	7549
75	620	7541
76	628	7530
77	636	7520
78	644	7510
79	652	7502
80	660	7491
81	668	7481
82	676	7471
83	684	7462
84	692	7451
85	700	7444
86	708	7435
87	716	7426
88	724	7417
89	732	7410
90	741	7402
91	748	7391
92	756	7382
93	765	7374
94	772	7363
95	780	7351
96	788	7343
97	797	7335
98	804	7325
99	812	7314
100	820	7303
101	828	7296
102	836	7287
103	844	7277
104	852	7267
105	860	7258
106	868	7248
107	876	7237
108	884	7229
109	892	7218
110	900	7208
111	907	7198
112	915	7187
113	923	7179
114	931	7170
115	939	7162
116	947	7152
117	955	7143
118	963	7132
119	971	7123
120	979	7114
121	987	7105
122	995	7098
123	1003	7089
124	1011	7079
125	1020	7076
126	1028	7068
127	1036	7059
128	1044	7050
129	1052	7042
130	1060	7032
131	1068	7025
132	1076	7019
133	1084	7010
134	1092	7002
135	1100	6994
136	1108	6984
137	1116	6975
138	1124	6967
139	1132	6957
140	1140	6947
141	1148	6938
142	1156	6928
143	1164	6919
144	1171	6909
145	1179	6900
146	1187	6892
147	1195	6884
148	1203	6875
149	1211	6867
150	1219	6859
151	1227	6849
152	1235	6839
153	1243	6830
154	1251	6821
155	1259	6812
156	1267	6805
157	1275	6795
158	1283	6786
159	1290	6777
160	1298	6769
161	1306	6759
162	1314	6750
163	1322	6741
164	1330	6731
165	1338	6723
166	1346	6714
167	1354	6706
168	1362	6698
169	1369	6688
170	1377	6679
171	1385	6670
172	1393	6662
173	1401	6654
174	1409	6645
175	1417	6636
176	1425	6629
177	1433	6621
178	1441	6612
179	1449	6604
180	1457	6595
181	1465	6587
182	1473	6579
183	1481	6570
184	1489	6562
185	1497	6555
186	1505	6546
187	1513	6538
188	1521	6529
189	1529	6521
190	1537	6513
191	1545	6505
192	1553	6496
193	1561	6487
194	1569	6479
195	1577	6471
196	1585	6462
197	1593	6454
198	1601	6444
199	1609	6437
200	1617	6429
201	1625	6419
202	1633	6411
203	1640	6403
204	1648	6394
205	1656	6385
206	1664	6376
207	1672	6367
208	1680	6358
209	1688	6350
210	1696	6342
211	1703	6333
212	1711	6324
213	1719	6316
214	1727	6307
215	1735	6299
216	1743	6291
217	1751	6282
218	1759	6273
219	1766	6264
220	1774	6255
221	1782	6247
222	1790	6239
